team_name,team,mascot,league,resource,resource_path
Philander Smith Panthers,Philander Smith Panthers,Philander Smith Panthers,ncaab, team://ncaa_basketball/philander_smith_panthers,/ncaa_basketball/philander_smith_panthers
Phillips,Phillips,Phillips,ncaab, team://ncaa_basketball/phillips,/ncaa_basketball/phillips
Piedmont Lions,Piedmont,Lions,ncaab, team://ncaa_basketball/piedmont_lions,/ncaa_basketball/piedmont_lions
Pikeville Bears,Pikeville,Bears,ncaab, team://ncaa_basketball/pikeville_bears,/ncaa_basketball/pikeville_bears
Pittsburgh Bradford,Pittsburgh Bradford,Pittsburgh Bradford,ncaab, team://ncaa_basketball/pittsburgh_bradford,/ncaa_basketball/pittsburgh_bradford
Pittsburgh Johnstown,Pittsburgh Johnstown,Pittsburgh Johnstown,ncaab, team://ncaa_basketball/pittsburgh_johnstown,/ncaa_basketball/pittsburgh_johnstown
Pittsburgh Panthers,Pittsburgh,Panthers,ncaab, team://ncaa_basketball/pittsburgh_panthers,/ncaa_basketball/pittsburgh_panthers
Pittsburg St Gorillas,Pittsburg St ,Gorillas,ncaab, team://ncaa_basketball/pittsburg_st_gorillas,/ncaa_basketball/pittsburg_st_gorillas
Plattsburgh St,Plattsburgh St,Plattsburgh St,ncaab, team://ncaa_basketball/plattsburgh_st,/ncaa_basketball/plattsburgh_st
Plymouth St Panthers,Plymouth St ,Panthers,ncaab, team://ncaa_basketball/plymouth_st_panthers,/ncaa_basketball/plymouth_st_panthers
Point Loma Sea Lions,Point Loma ,Sea Lions,ncaab, team://ncaa_basketball/point_loma_sea_lions,/ncaa_basketball/point_loma_sea_lions
Point Park Pioneers,Point Park Pioneers,Point Park Pioneers,ncaab, team://ncaa_basketball/point_park_pioneers,/ncaa_basketball/point_park_pioneers
Polytechnic Blue Jays,Polytechnic Blue Jays,Polytechnic Blue Jays,ncaab, team://ncaa_basketball/polytechnic_blue_jays,/ncaa_basketball/polytechnic_blue_jays
Pomona Pitzer Sagehens,Pomona Pitzer Sagehens,Pomona Pitzer Sagehens,ncaab, team://ncaa_basketball/pomona_pitzer_sagehens,/ncaa_basketball/pomona_pitzer_sagehens
Portland Pilots,Portland,Pilots,ncaab, team://ncaa_basketball/portland_pilots,/ncaa_basketball/portland_pilots
Portland St Vikings,Portland St ,Vikings,ncaab, team://ncaa_basketball/portland_st_vikings,/ncaa_basketball/portland_st_vikings
Prairie View Panthers,Prairie View ,Panthers,ncaab, team://ncaa_basketball/prairie_view_panthers,/ncaa_basketball/prairie_view_panthers
Pratt Canoneers,Pratt,Canoneers,ncaab, team://ncaa_basketball/pratt_canoneers,/ncaa_basketball/pratt_canoneers
Presbyterian Blue Hose,Presbyterian Blue Hose,Presbyterian Blue Hose,ncaab, team://ncaa_basketball/presbyterian_blue_hose,/ncaa_basketball/presbyterian_blue_hose
Princeton Tigers,Princeton,Tigers,ncaab, team://ncaa_basketball/princeton_tigers,/ncaa_basketball/princeton_tigers
Providence Friars,Providence,Friars,ncaab, team://ncaa_basketball/providence_friars,/ncaa_basketball/providence_friars
Puget Sound Loggers,Puget Sound ,Loggers,ncaab, team://ncaa_basketball/puget_sound_loggers,/ncaa_basketball/puget_sound_loggers
Purchase,Purchase,Purchase,ncaab, team://ncaa_basketball/purchase,/ncaa_basketball/purchase
Purdcalmet,Purdcalmet,Purdcalmet,ncaab, team://ncaa_basketball/purdcalmet,/ncaa_basketball/purdcalmet
Purdue Boilermakers,Purdue,Boilermakers,ncaab, team://ncaa_basketball/purdue_boilermakers,/ncaa_basketball/purdue_boilermakers
Queens NC Royals,Queens NC Royals,Queens NC Royals,ncaab, team://ncaa_basketball/queens_nc_royals,/ncaa_basketball/queens_nc_royals
Queens NY Knights,Queens NY Knights,Queens NY Knights,ncaab, team://ncaa_basketball/queens_ny_knights,/ncaa_basketball/queens_ny_knights
Quincy Hawks,Quincy,Hawks,ncaab, team://ncaa_basketball/quincy_hawks,/ncaa_basketball/quincy_hawks
Quinnipiac Bobcats,Quinnipiac,Bobcats,ncaab, team://ncaa_basketball/quinnipiac_bobcats,/ncaa_basketball/quinnipiac_bobcats
Radford Highlanders,Radford,Highlanders,ncaab, team://ncaa_basketball/radford_highlanders,/ncaa_basketball/radford_highlanders
Randolph Macon Yellow Jackets,Randolph Macon Yellow Jackets,Randolph Macon Yellow Jackets,ncaab, team://ncaa_basketball/randolph_macon_yellow_jackets,/ncaa_basketball/randolph_macon_yellow_jackets
Redlands Bulldogs,Redlands,Bulldogs,ncaab, team://ncaa_basketball/redlands_bulldogs,/ncaa_basketball/redlands_bulldogs
Regis College Pride,Regis College Pride,Regis College Pride,ncaab, team://ncaa_basketball/regis_college_pride,/ncaa_basketball/regis_college_pride
Regis CO Rangers,Regis CO Rangers,Regis CO Rangers,ncaab, team://ncaa_basketball/regis_co_rangers,/ncaa_basketball/regis_co_rangers
Reinhardt Eagles,Reinhardt,Eagles,ncaab, team://ncaa_basketball/reinhardt_eagles,/ncaa_basketball/reinhardt_eagles
Rhema,Rhema,Rhema,ncaab, team://ncaa_basketball/rhema,/ncaa_basketball/rhema
Rhode Island,Rhode Island,Rhode Island,ncaab, team://ncaa_basketball/rhode_island,/ncaa_basketball/rhode_island
Rhode Island College Anchormen,Rhode Island College ,Anchormen,ncaab, team://ncaa_basketball/rhode_island_college_anchormen,/ncaa_basketball/rhode_island_college_anchormen
Rhode Island Rams,Rhode Island ,Rams,ncaab, team://ncaa_basketball/rhode_island_rams,/ncaa_basketball/rhode_island_rams
Rhodes Lynx,Rhodes,Lynx,ncaab, team://ncaa_basketball/rhodes_lynx,/ncaa_basketball/rhodes_lynx
Rice Owls,Rice,Owls,ncaab, team://ncaa_basketball/rice_owls,/ncaa_basketball/rice_owls
Richmond Spiders,Richmond,Spiders,ncaab, team://ncaa_basketball/richmond_spiders,/ncaa_basketball/richmond_spiders
Rider Broncs,Rider,Broncs,ncaab, team://ncaa_basketball/rider_broncs,/ncaa_basketball/rider_broncs
Rio Grande Redmen,Rio Grande Redmen,Rio Grande Redmen,ncaab, team://ncaa_basketball/rio_grande_redmen,/ncaa_basketball/rio_grande_redmen
Ripon College,Ripon College,Ripon College,ncaab, team://ncaa_basketball/ripon_college,/ncaa_basketball/ripon_college
RIT,RIT,RIT,ncaab, team://ncaa_basketball/rit,/ncaa_basketball/rit
Roanoke Maroons,Roanoke,Maroons,ncaab, team://ncaa_basketball/roanoke_maroons,/ncaa_basketball/roanoke_maroons
Robert Morris Colonials,Robert Morris ,Colonials,ncaab, team://ncaa_basketball/robert_morris_colonials,/ncaa_basketball/robert_morris_colonials
Rob Morris IL Eagles,Rob Morris IL Eagles,Rob Morris IL Eagles,ncaab, team://ncaa_basketball/rob_morris_il_eagles,/ncaa_basketball/rob_morris_il_eagles
Rochester College Warriors,Rochester College ,Warriors,ncaab, team://ncaa_basketball/rochester_college_warriors,/ncaa_basketball/rochester_college_warriors
Rochester Tigers,Rochester,Tigers,ncaab, team://ncaa_basketball/rochester_tigers,/ncaa_basketball/rochester_tigers
Rockford Regent Lions,Rockford Regent Lions,Rockford Regent Lions,ncaab, team://ncaa_basketball/rockford_regent_lions,/ncaa_basketball/rockford_regent_lions
Rockhurst Hawks,Rockhurst,Hawks,ncaab, team://ncaa_basketball/rockhurst_hawks,/ncaa_basketball/rockhurst_hawks
Rocky Mountain Bears,Rocky Mountain Bears,Rocky Mountain Bears,ncaab, team://ncaa_basketball/rocky_mountain_bears,/ncaa_basketball/rocky_mountain_bears
Rogers State Hillcats,Rogers State ,Hillcats,ncaab, team://ncaa_basketball/rogers_state_hillcats,/ncaa_basketball/rogers_state_hillcats
Rollins Tars,Rollins,Tars,ncaab, team://ncaa_basketball/rollins_tars,/ncaa_basketball/rollins_tars
Rose Hulman Engineers,Rose Hulman Engineers,Rose Hulman Engineers,ncaab, team://ncaa_basketball/rose_hulman_engineers,/ncaa_basketball/rose_hulman_engineers
Rowan Professors,Rowan,Professors,ncaab, team://ncaa_basketball/rowan_professors,/ncaa_basketball/rowan_professors
RPI,RPI,RPI,ncaab, team://ncaa_basketball/rpi,/ncaa_basketball/rpi
Rust College Bearcats,Rust College Bearcats,Rust College Bearcats,ncaab, team://ncaa_basketball/rust_college_bearcats,/ncaa_basketball/rust_college_bearcats
Rutgers Scarlet Knights,Rutgers ,Scarlet Knights,ncaab, team://ncaa_basketball/rutgers_scarlet_knights,/ncaa_basketball/rutgers_scarlet_knights
Sacramento St,Sacramento St,Sacramento St,ncaab, team://ncaa_basketball/sacramento_st,/ncaa_basketball/sacramento_st
Sacramento St Hornets,Sacramento St ,Hornets,ncaab, team://ncaa_basketball/sacramento_st_hornets,/ncaa_basketball/sacramento_st_hornets
Sacred Heart Pioneers,Sacred Heart ,Pioneers,ncaab, team://ncaa_basketball/sacred_heart_pioneers,/ncaa_basketball/sacred_heart_pioneers
Saginaw Valley Cardinals,Saginaw Valley Cardinals,Saginaw Valley Cardinals,ncaab, team://ncaa_basketball/saginaw_valley_cardinals,/ncaa_basketball/saginaw_valley_cardinals
Salem St Vikings,Salem St ,Vikings,ncaab, team://ncaa_basketball/salem_st_vikings,/ncaa_basketball/salem_st_vikings
Salem-Teikyo Tigers,Salem-Teikyo Tigers,Salem-Teikyo Tigers,ncaab, team://ncaa_basketball/salem_teikyo_tigers,/ncaa_basketball/salem_teikyo_tigers
Salisbury St Sea Gulls,Salisbury St Sea Gulls,Salisbury St Sea Gulls,ncaab, team://ncaa_basketball/salisbury_st_sea_gulls,/ncaa_basketball/salisbury_st_sea_gulls
Salve Regina Seahawks,Salve Regina Seahawks,Salve Regina Seahawks,ncaab, team://ncaa_basketball/salve_regina_seahawks,/ncaa_basketball/salve_regina_seahawks
Samford Bulldogs,Samford,Bulldogs,ncaab, team://ncaa_basketball/samford_bulldogs,/ncaa_basketball/samford_bulldogs
Sam Houston St Bearkats,Sam Houston St ,Bearkats,ncaab, team://ncaa_basketball/sam_houston_st_bearkats,/ncaa_basketball/sam_houston_st_bearkats
San Bernardino Coyotes,San Bernardino Coyotes,San Bernardino Coyotes,ncaab, team://ncaa_basketball/san_bernardino_coyotes,/ncaa_basketball/san_bernardino_coyotes
San Diego Christian Hawks,San Diego Christian Hawks,San Diego Christian Hawks,ncaab, team://ncaa_basketball/san_diego_christian_hawks,/ncaa_basketball/san_diego_christian_hawks
San Diego St Aztecs,San Diego St ,Aztecs,ncaab, team://ncaa_basketball/san_diego_st_aztecs,/ncaa_basketball/san_diego_st_aztecs
San Diego Toreros,San Diego Toreros,San Diego Toreros,ncaab, team://ncaa_basketball/san_diego_toreros,/ncaa_basketball/san_diego_toreros
San Francisco Dons,San Francisco ,Dons,ncaab, team://ncaa_basketball/san_francisco_dons,/ncaa_basketball/san_francisco_dons
San Jose St Spartans,San Jose St ,Spartans,ncaab, team://ncaa_basketball/san_jose_st_spartans,/ncaa_basketball/san_jose_st_spartans
Santa Clara Broncos,Santa Clara ,Broncos,ncaab, team://ncaa_basketball/santa_clara_broncos,/ncaa_basketball/santa_clara_broncos
Savannah College of Art and Design Bees,Savannah College of Art and Design Bees,Savannah College of Art and Design Bees,ncaab, team://ncaa_basketball/savannah_college_of_art_and_design_bees,/ncaa_basketball/savannah_college_of_art_and_design_bees
Savannah St Tigers,Savannah St ,Tigers,ncaab, team://ncaa_basketball/savannah_st_tigers,/ncaa_basketball/savannah_st_tigers
SC Aiken,SC,Aiken,ncaab, team://ncaa_basketball/sc_aiken,/ncaa_basketball/sc_aiken
S Carolina St Bulldogs,S Carolina St ,Bulldogs,ncaab, team://ncaa_basketball/s_carolina_st_bulldogs,/ncaa_basketball/s_carolina_st_bulldogs
Schreiner Mountaineers,Schreiner,Mountaineers,ncaab, team://ncaa_basketball/schreiner_mountaineers,/ncaa_basketball/schreiner_mountaineers
Scots,Scots,Scots,ncaab, team://ncaa_basketball/scots,/ncaa_basketball/scots
Scranton Royals,Scranton,Royals,ncaab, team://ncaa_basketball/scranton_royals,/ncaa_basketball/scranton_royals
Seattle Pacific Falcons,Seattle Pacific ,Falcons,ncaab, team://ncaa_basketball/seattle_pacific_falcons,/ncaa_basketball/seattle_pacific_falcons
Seattle Redhawks,Seattle,Redhawks,ncaab, team://ncaa_basketball/seattle_redhawks,/ncaa_basketball/seattle_redhawks
Selma,Selma,Selma,ncaab, team://ncaa_basketball/selma,/ncaa_basketball/selma
SE Louisiana Lions,SE Louisiana Lions,SE Louisiana Lions,ncaab, team://ncaa_basketball/se_louisiana_lions,/ncaa_basketball/se_louisiana_lions
SE Missouri Redhawks,SE Missouri Redhawks,SE Missouri Redhawks,ncaab, team://ncaa_basketball/se_missouri_redhawks,/ncaa_basketball/se_missouri_redhawks
SE Oklahoma St,SE Oklahoma St,SE Oklahoma St,ncaab, team://ncaa_basketball/se_oklahoma_st,/ncaa_basketball/se_oklahoma_st
Seton Hall Pirates,Seton Hall Pirates,Seton Hall Pirates,ncaab, team://ncaa_basketball/seton_hall_pirates,/ncaa_basketball/seton_hall_pirates
Sewanee,Sewanee,Sewanee,ncaab, team://ncaa_basketball/sewanee,/ncaa_basketball/sewanee
SFSU Gators,SFSU,Gators,ncaab, team://ncaa_basketball/sfsu_gators,/ncaa_basketball/sfsu_gators
Shaw Bears,Shaw,Bears,ncaab, team://ncaa_basketball/shaw_bears,/ncaa_basketball/shaw_bears
Shawnee St Bears,Shawnee St ,Bears,ncaab, team://ncaa_basketball/shawnee_st_bears,/ncaa_basketball/shawnee_st_bears
Shenandoah Hornets,Shenandoah,Hornets,ncaab, team://ncaa_basketball/shenandoah_hornets,/ncaa_basketball/shenandoah_hornets
Shepherd Collge,Shepherd,Collge,ncaab, team://ncaa_basketball/shepherd_collge,/ncaa_basketball/shepherd_collge
Shippensburg Red Raiders,Shippensburg Red Raiders,Shippensburg Red Raiders,ncaab, team://ncaa_basketball/shippensburg_red_raiders,/ncaa_basketball/shippensburg_red_raiders
Shorter Hawks,Shorter,Hawks,ncaab, team://ncaa_basketball/shorter_hawks,/ncaa_basketball/shorter_hawks
Siena Heights Saints,Siena Heights Saints,Siena Heights Saints,ncaab, team://ncaa_basketball/siena_heights_saints,/ncaa_basketball/siena_heights_saints
Siena Saints,Siena,Saints,ncaab, team://ncaa_basketball/siena_saints,/ncaa_basketball/siena_saints
Simon Fraser,Simon,Fraser,ncaab, team://ncaa_basketball/simon_fraser,/ncaa_basketball/simon_fraser
Simpson Storm,Simpson,Storm,ncaab, team://ncaa_basketball/simpson_storm,/ncaa_basketball/simpson_storm
Simpson Univ Vanguards,Simpson Univ Vanguards,Simpson Univ Vanguards,ncaab, team://ncaa_basketball/simpson_univ_vanguards,/ncaa_basketball/simpson_univ_vanguards
Sioux Falls Cougars,Sioux Falls ,Cougars,ncaab, team://ncaa_basketball/sioux_falls_cougars,/ncaa_basketball/sioux_falls_cougars
SIU Edwards Village,SIU Edwards Village,SIU Edwards Village,ncaab, team://ncaa_basketball/siu_edwards_village,/ncaa_basketball/siu_edwards_village
Skidmore Thoroughbreds,Skidmore,Thoroughbreds,ncaab, team://ncaa_basketball/skidmore_thoroughbreds,/ncaa_basketball/skidmore_thoroughbreds
Slippery Rock The Rock,Slippery Rock The Rock,Slippery Rock The Rock,ncaab, team://ncaa_basketball/slippery_rock_the_rock,/ncaa_basketball/slippery_rock_the_rock
SMU Mustangs,SMU,Mustangs,ncaab, team://ncaa_basketball/smu_mustangs,/ncaa_basketball/smu_mustangs
So Dakota St Jackrabbits,So Dakota St ,Jackrabbits,ncaab, team://ncaa_basketball/so_dakota_st_jackrabbits,/ncaa_basketball/so_dakota_st_jackrabbits
Sonoma St Seawolves,Sonoma St ,Seawolves,ncaab, team://ncaa_basketball/sonoma_st_seawolves,/ncaa_basketball/sonoma_st_seawolves
South Alabama,South Alabama,South Alabama,ncaab, team://ncaa_basketball/south_alabama,/ncaa_basketball/south_alabama
South Alabama Jaguars,South Alabama Jaguars,South Alabama Jaguars,ncaab, team://ncaa_basketball/south_alabama_jaguars,/ncaa_basketball/south_alabama_jaguars
South Carolina Gamecocks,South Carolina Gamecocks,South Carolina Gamecocks,ncaab, team://ncaa_basketball/south_carolina_gamecocks,/ncaa_basketball/south_carolina_gamecocks
South Dakota Coyotes,South Dakota Coyotes,South Dakota Coyotes,ncaab, team://ncaa_basketball/south_dakota_coyotes,/ncaa_basketball/south_dakota_coyotes
South Dakota Tech,South Dakota Tech,South Dakota Tech,ncaab, team://ncaa_basketball/south_dakota_tech,/ncaa_basketball/south_dakota_tech
Southeastern,Southeastern,Southeastern,ncaab, team://ncaa_basketball/southeastern,/ncaa_basketball/southeastern
Souther Colorado,Souther,Colorado,ncaab, team://ncaa_basketball/souther_colorado,/ncaa_basketball/souther_colorado
Southern Arkansas Muleriders,Southern Arkansas ,Muleriders,ncaab, team://ncaa_basketball/southern_arkansas_muleriders,/ncaa_basketball/southern_arkansas_muleriders
Southern Conn Owls,Southern Conn Owls,Southern Conn Owls,ncaab, team://ncaa_basketball/southern_conn_owls,/ncaa_basketball/southern_conn_owls
Southern Illinois Salukis,Southern Illinois ,Salukis,ncaab, team://ncaa_basketball/southern_illinois_salukis,/ncaa_basketball/southern_illinois_salukis
Southern Jaguars,Southern,Jaguars,ncaab, team://ncaa_basketball/southern_jaguars,/ncaa_basketball/southern_jaguars
Southern Maine Huskies,Southern Maine Huskies,Southern Maine Huskies,ncaab, team://ncaa_basketball/southern_maine_huskies,/ncaa_basketball/southern_maine_huskies
Southern Miss Golden Eagles,Southern Miss Golden Eagles,Southern Miss Golden Eagles,ncaab, team://ncaa_basketball/southern_miss_golden_eagles,/ncaa_basketball/southern_miss_golden_eagles
Southern New Hampshre Penmen,Southern New Hampshre Penmen,Southern New Hampshre Penmen,ncaab, team://ncaa_basketball/southern_new_hampshre_penmen,/ncaa_basketball/southern_new_hampshre_penmen
Southern Oregon Raiders,Southern Oregon Raiders,Southern Oregon Raiders,ncaab, team://ncaa_basketball/southern_oregon_raiders,/ncaa_basketball/southern_oregon_raiders
Southern Tech,Southern Tech,Southern Tech,ncaab, team://ncaa_basketball/southern_tech,/ncaa_basketball/southern_tech
Southern University of New Orleans Knights,Southern University of New Orleans Knights,Southern University of New Orleans Knights,ncaab, team://ncaa_basketball/southern_university_of_new_orleans_knights,/ncaa_basketball/southern_university_of_new_orleans_knights
Southern Utah Thunderbirds,Southern Utah Thunderbirds,Southern Utah Thunderbirds,ncaab, team://ncaa_basketball/southern_utah_thunderbirds,/ncaa_basketball/southern_utah_thunderbirds
Southern Vermont Mountaineers,Southern Vermont Mountaineers,Southern Vermont Mountaineers,ncaab, team://ncaa_basketball/southern_vermont_mountaineers,/ncaa_basketball/southern_vermont_mountaineers
Southern Virginia Knights,Southern Virginia Knights,Southern Virginia Knights,ncaab, team://ncaa_basketball/southern_virginia_knights,/ncaa_basketball/southern_virginia_knights
Southern Wesleyan Warriors,Southern Wesleyan Warriors,Southern Wesleyan Warriors,ncaab, team://ncaa_basketball/southern_wesleyan_warriors,/ncaa_basketball/southern_wesleyan_warriors
South Florida Bulls,South Florida ,Bulls,ncaab, team://ncaa_basketball/south_florida_bulls,/ncaa_basketball/south_florida_bulls
Southrn Indiana Screaming Eagles,Southrn Indiana ,Screaming Eagles,ncaab, team://ncaa_basketball/southrn_indiana_screaming_eagles,/ncaa_basketball/southrn_indiana_screaming_eagles
Southwest Baptist Bearcats,Southwest Baptist Bearcats,Southwest Baptist Bearcats,ncaab, team://ncaa_basketball/southwest_baptist_bearcats,/ncaa_basketball/southwest_baptist_bearcats
Southwestern,Southwestern,Southwestern,ncaab, team://ncaa_basketball/southwestern,/ncaa_basketball/southwestern
Southwest St MN Mustangs,Southwest St MN Mustangs,Southwest St MN Mustangs,ncaab, team://ncaa_basketball/southwest_st_mn_mustangs,/ncaa_basketball/southwest_st_mn_mustangs
Spalding Golden Eagles,Spalding Golden Eagles,Spalding Golden Eagles,ncaab, team://ncaa_basketball/spalding_golden_eagles,/ncaa_basketball/spalding_golden_eagles
Spring Arbor Cougars,Spring Arbor Cougars,Spring Arbor Cougars,ncaab, team://ncaa_basketball/spring_arbor_cougars,/ncaa_basketball/spring_arbor_cougars
Springfield,Springfield,Springfield,ncaab, team://ncaa_basketball/springfield,/ncaa_basketball/springfield
Spring Hill,Spring,Hill,ncaab, team://ncaa_basketball/spring_hill,/ncaa_basketball/spring_hill
St Ambrose,St Ambrose,St Ambrose,ncaab, team://ncaa_basketball/st_ambrose,/ncaa_basketball/st_ambrose
St Andrews,St Andrews,St Andrews,ncaab, team://ncaa_basketball/st_andrews,/ncaa_basketball/st_andrews
Stanford Cardinal,Stanford,Cardinal,ncaab, team://ncaa_basketball/stanford_cardinal,/ncaa_basketball/stanford_cardinal
St Anselm,St Anselm,St Anselm,ncaab, team://ncaa_basketball/st_anselm,/ncaa_basketball/st_anselm
Staten Island,Staten Island,Staten Island,ncaab, team://ncaa_basketball/staten_island,/ncaa_basketball/staten_island
St Bonaventure Bonnies,St Bonaventure Bonnies,St Bonaventure Bonnies,ncaab, team://ncaa_basketball/st_bonaventure_bonnies,/ncaa_basketball/st_bonaventure_bonnies
St Catharine,St Catharine,St Catharine,ncaab, team://ncaa_basketball/st_catharine,/ncaa_basketball/st_catharine
St Cloud Huskies,St Cloud Huskies,St Cloud Huskies,ncaab, team://ncaa_basketball/st_cloud_huskies,/ncaa_basketball/st_cloud_huskies
St Edwards Hilltoppers,St Edwards Hilltoppers,St Edwards Hilltoppers,ncaab, team://ncaa_basketball/st_edwards_hilltoppers,/ncaa_basketball/st_edwards_hilltoppers
Stephen F Austin Lumberjacks,Stephen F Austin Lumberjacks,Stephen F Austin Lumberjacks,ncaab, team://ncaa_basketball/stephen_f_austin_lumberjacks,/ncaa_basketball/stephen_f_austin_lumberjacks
Stetson Hatters,Stetson,Hatters,ncaab, team://ncaa_basketball/stetson_hatters,/ncaa_basketball/stetson_hatters
Stevenson,Stevenson,Stevenson,ncaab, team://ncaa_basketball/stevenson,/ncaa_basketball/stevenson
Stevens Tech Ducks,Stevens Tech Ducks,Stevens Tech Ducks,ncaab, team://ncaa_basketball/stevens_tech_ducks,/ncaa_basketball/stevens_tech_ducks
St Francis IL,St Francis IL,St Francis IL,ncaab, team://ncaa_basketball/st_francis_il,/ncaa_basketball/st_francis_il
St Francis IN Cougars,St Francis IN Cougars,St Francis IN Cougars,ncaab, team://ncaa_basketball/st_francis_in_cougars,/ncaa_basketball/st_francis_in_cougars
St Francis NY Terriers,St Francis NY Terriers,St Francis NY Terriers,ncaab, team://ncaa_basketball/st_francis_ny_terriers,/ncaa_basketball/st_francis_ny_terriers
St Francis PA,St Francis PA,St Francis PA,ncaab, team://ncaa_basketball/st_francis_pa,/ncaa_basketball/st_francis_pa
St Francis PA Red Flash,St Francis PA Red Flash,St Francis PA Red Flash,ncaab, team://ncaa_basketball/st_francis_pa_red_flash,/ncaa_basketball/st_francis_pa_red_flash
St Gregory Cavaliers,St Gregory Cavaliers,St Gregory Cavaliers,ncaab, team://ncaa_basketball/st_gregory_cavaliers,/ncaa_basketball/st_gregory_cavaliers
Stillman Tigers,Stillman,Tigers,ncaab, team://ncaa_basketball/stillman_tigers,/ncaa_basketball/stillman_tigers
St John Fisher Cardinals,St John Fisher Cardinals,St John Fisher Cardinals,ncaab, team://ncaa_basketball/st_john_fisher_cardinals,/ncaa_basketball/st_john_fisher_cardinals
St Johns MN Johnnies,St Johns MN Johnnies,St Johns MN Johnnies,ncaab, team://ncaa_basketball/st_johns_mn_johnnies,/ncaa_basketball/st_johns_mn_johnnies
St Johns Red Storm,St Johns ,Red Storm,ncaab, team://ncaa_basketball/st_johns_red_storm,/ncaa_basketball/st_johns_red_storm
St Josephs Hawks,St Josephs ,Hawks,ncaab, team://ncaa_basketball/st_josephs_hawks,/ncaa_basketball/st_josephs_hawks
St Josephs IN Pumas,St Josephs IN Pumas,St Josephs IN Pumas,ncaab, team://ncaa_basketball/st_josephs_in_pumas,/ncaa_basketball/st_josephs_in_pumas
St Josephs ME Monks,St Josephs ME Monks,St Josephs ME Monks,ncaab, team://ncaa_basketball/st_josephs_me_monks,/ncaa_basketball/st_josephs_me_monks
St Josephs VT,St Josephs VT,St Josephs VT,ncaab, team://ncaa_basketball/st_josephs_vt,/ncaa_basketball/st_josephs_vt
St Lawrence,St Lawrence,St Lawrence,ncaab, team://ncaa_basketball/st_lawrence,/ncaa_basketball/st_lawrence
St Leo,St Leo,St Leo,ncaab, team://ncaa_basketball/st_leo,/ncaa_basketball/st_leo
St Louis,St Louis,St Louis,ncaab, team://ncaa_basketball/st_louis,/ncaa_basketball/st_louis
St Louis Billikens,St Louis Billikens,St Louis Billikens,ncaab, team://ncaa_basketball/st_louis_billikens,/ncaa_basketball/st_louis_billikens
St Martins,St Martins,St Martins,ncaab, team://ncaa_basketball/st_martins,/ncaa_basketball/st_martins
St Marys CA,St Marys CA,St Marys CA,ncaab, team://ncaa_basketball/st_marys_ca,/ncaa_basketball/st_marys_ca
St Marys CA Gaels,St Marys CA Gaels,St Marys CA Gaels,ncaab, team://ncaa_basketball/st_marys_ca_gaels,/ncaa_basketball/st_marys_ca_gaels
St Marys MD Seahawks,St Marys MD Seahawks,St Marys MD Seahawks,ncaab, team://ncaa_basketball/st_marys_md_seahawks,/ncaa_basketball/st_marys_md_seahawks
St Marys MI,St Marys MI,St Marys MI,ncaab, team://ncaa_basketball/st_marys_mi,/ncaa_basketball/st_marys_mi
St Marys MN Cardinals,St Marys MN Cardinals,St Marys MN Cardinals,ncaab, team://ncaa_basketball/st_marys_mn_cardinals,/ncaa_basketball/st_marys_mn_cardinals
St Marys TX,St Marys TX,St Marys TX,ncaab, team://ncaa_basketball/st_marys_tx,/ncaa_basketball/st_marys_tx
St Michaels Purple Knights,St Michaels Purple Knights,St Michaels Purple Knights,ncaab, team://ncaa_basketball/st_michaels_purple_knights,/ncaa_basketball/st_michaels_purple_knights
St Norbert Green Knights,St Norbert Green Knights,St Norbert Green Knights,ncaab, team://ncaa_basketball/st_norbert_green_knights,/ncaa_basketball/st_norbert_green_knights
St Olaf Oles,St Olaf Oles,St Olaf Oles,ncaab, team://ncaa_basketball/st_olaf_oles,/ncaa_basketball/st_olaf_oles
Stonehill Skyhawks,Stonehill,Skyhawks,ncaab, team://ncaa_basketball/stonehill_skyhawks,/ncaa_basketball/stonehill_skyhawks
Stony Brook Seawolves,Stony Brook Seawolves,Stony Brook Seawolves,ncaab, team://ncaa_basketball/stony_brook_seawolves,/ncaa_basketball/stony_brook_seawolves
St Pauls College,St Pauls College,St Pauls College,ncaab, team://ncaa_basketball/st_pauls_college,/ncaa_basketball/st_pauls_college
St Peters Peacocks,St Peters Peacocks,St Peters Peacocks,ncaab, team://ncaa_basketball/st_peters_peacocks,/ncaa_basketball/st_peters_peacocks
St Thomas Aquinas Spartans,St Thomas Aquinas Spartans,St Thomas Aquinas Spartans,ncaab, team://ncaa_basketball/st_thomas_aquinas_spartans,/ncaa_basketball/st_thomas_aquinas_spartans
St Thomas FL Bobcats,St Thomas FL Bobcats,St Thomas FL Bobcats,ncaab, team://ncaa_basketball/st_thomas_fl_bobcats,/ncaa_basketball/st_thomas_fl_bobcats
St Thomas MN Tommies,St Thomas MN Tommies,St Thomas MN Tommies,ncaab, team://ncaa_basketball/st_thomas_mn_tommies,/ncaa_basketball/st_thomas_mn_tommies
St Vincent Bearcats,St Vincent Bearcats,St Vincent Bearcats,ncaab, team://ncaa_basketball/st_vincent_bearcats,/ncaa_basketball/st_vincent_bearcats
St Xavier IL,St Xavier IL,St Xavier IL,ncaab, team://ncaa_basketball/st_xavier_il,/ncaa_basketball/st_xavier_il
Suffolk University Rams,Suffolk University Rams,Suffolk University Rams,ncaab, team://ncaa_basketball/suffolk_university_rams,/ncaa_basketball/suffolk_university_rams
